(1),(2),(3a),(3b),(4),(5),(6),(7a),(7b),(8),(9a),(9b),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19 ADR),(19 RID),(20),(1) 
0004,AMMONIUMPIKRAT tørt eller fuktet med under 10 masseprosent vann,1,1.1D,,"1
(+13)",,0,E0,"P112(a)
(b)(c)",PP26,MP20,,,,,,"1
(B1000C)","V2
V3",,"CV1
CV2
CV3",S1,,1.1D,0004
0005,"AMMUNISJON, spreng",1,1.1F,,"1
(+13)",,0,E0,"P130
LP101",,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1F,0005
0006,"AMMUNISJON, spreng",1,1.1E,,"1
(+13)",,0,E0,"P130
LP101","PP67
L1",MP21,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.1E,0006
0007,"AMMUNISJON, spreng",1,1.2F,,"1
(+13)",,0,E0,"P130
LP101",,MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2F,0007
0009,"AMMUNISJON, BRANN, med eller uten sprengladning, utstøterladning eller drivladning",1,1.2G,,1,,0,E0,"P130
LP101","PP67
L1",MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2G,9
0010,"AMMUNISJON, BRANN, med eller uten sprengladning, utstøterladning eller drivladning",1,1.3G,,1,,0,E0,"P130
LP101","PP67
L1",MP23,,,,,,"1
(C5000D)",V2,,"CV1
CV2
CV3",S1,,1.3G,0010
0012,"AMMUNISJON, KALDT PROSJEKTIL eller AMMUNISJON, HÅNDVÅPEN",1,1.4S,,1.4,364,5 kg,E0,"P130
LP101",,MP23 MP24,,,,,,"4
(E)",V2,,"CV1
CV2
CV3",S1,,1.4S,0012
0014,"AMMUNISJON, LØS eller AMMUNISJON, LØS, HÅNDVÅPEN eller AMMUNISJON FOR VERKTØY, LØS",1,1.4S,,1.4,364,5 kg,E0,"P130
LP101",,MP23 MP24,,,,,,"4
(E)",V2,,"CV1
CV2
CV3",S1,,1.4S,0014
0015,"AMMUNISJON, RØYK, med eller uten sprengladning, utstøterladning eller drivladning, inneholder stoff som er giftig ved innånding",1,1.2G,,"1
+6.1",,0,E0,"P130
LP101","PP67
L1",MP23,,,,,,"1
(B1000C)
",V2,,"CV1
CV2
CV3
CV28",S1,,1.2G,0015
0015,"AMMUNISJON, RØYK, med eller uten sprengladning, utstøterladning eller drivladning",1,1.2G,,1,,0,E0,"P130
LP101","PP67
L1",MP23,,,,,,"1
(B1000C)",V2,,"CV1
CV2
CV3",S1,,1.2G,0015
